2024-04-06 20:42:28.520 [main] WARN  o.s.c.netflix.archaius.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2024-04-06 20:42:28.523 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:42:28.525 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:42:29.549 [main] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No service to register for nacos client...
2024-04-06 20:43:18.146 [SpringContextShutdownHook] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No dom to de-register for nacos client...
2024-04-06 20:43:24.217 [main] WARN  o.s.c.netflix.archaius.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2024-04-06 20:43:24.218 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:43:24.221 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:43:25.226 [main] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No service to register for nacos client...
2024-04-06 20:44:48.125 [SpringContextShutdownHook] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No dom to de-register for nacos client...
2024-04-06 20:44:51.542 [main] WARN  o.s.c.netflix.archaius.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2024-04-06 20:44:51.544 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:44:51.546 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:44:52.472 [main] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No service to register for nacos client...
2024-04-06 20:45:23.478 [SpringContextShutdownHook] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No dom to de-register for nacos client...
2024-04-06 20:45:28.545 [main] WARN  o.s.c.netflix.archaius.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2024-04-06 20:45:28.548 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:45:28.551 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:45:29.503 [main] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No service to register for nacos client...
2024-04-06 20:47:03.723 [SpringContextShutdownHook] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No dom to de-register for nacos client...
2024-04-06 20:47:07.062 [main] WARN  o.s.c.netflix.archaius.ArchaiusAutoConfiguration - No spring.application.name found, defaulting to 'application'
2024-04-06 20:47:07.063 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:47:07.066 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:47:08.002 [main] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No service to register for nacos client...
2024-04-06 20:47:39.503 [SpringContextShutdownHook] WARN  o.s.c.alibaba.nacos.registry.NacosServiceRegistry - No dom to de-register for nacos client...
2024-04-06 20:47:42.842 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 20:47:42.844 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:00:19.822 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:00:19.824 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:05:14.496 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'fileUploadController': Unsatisfied dependency expressed through field 'fileService'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'fileServiceImpl': Invocation of init method failed; nested exception is com.aliyun.oss.common.auth.InvalidCredentialsException: Access key id should not be null or empty.
2024-04-06 21:05:56.849 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'fileUploadController': Unsatisfied dependency expressed through field 'fileService'; nested exception is org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'fileServiceImpl': Invocation of init method failed; nested exception is com.aliyun.oss.common.auth.InvalidCredentialsException: Access key id should not be null or empty.
2024-04-06 21:06:17.970 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:06:17.973 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:06:36.379 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:06:36.382 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:08:06.974 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:08:06.977 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:09:15.668 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2024-04-06 21:09:15.670 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
